NAME,USD/PLN
ISIN,USDPLN
2003-04-11,3.97110000
2003-04-14,3.94430000
2003-04-15,3.94690000
2003-04-16,3.95730000
2003-04-17,3.91800000
2003-04-18,3.91390000
2003-04-22,3.90800000
2003-04-23,3.88900000
2003-04-24,3.89630000
2003-04-25,3.88980000
2003-04-28,3.87830000
2003-04-29,3.89450000
2003-04-30,3.84060000
2003-05-02,3.80150000
2003-05-05,3.78710000
2003-05-06,3.76080000
2003-05-07,3.78780000
2003-05-08,3.78520000
2003-05-09,3.76590000
2003-05-12,3.74380000
2003-05-13,3.75910000
2003-05-14,3.75760000
2003-05-15,3.77550000
2003-05-16,3.77680000
2003-05-19,3.70870000
2003-05-20,3.71910000
2003-05-21,3.73900000
2003-05-22,3.70610000
2003-05-23,3.69190000
2003-05-26,3.67900000
2003-05-27,3.67090000
2003-05-28,3.69770000
2003-05-29,3.74540000
2003-05-30,3.71090000
2003-06-02,3.75120000
2003-06-03,3.74990000
2003-06-04,3.78690000
2003-06-05,3.82180000
2003-06-06,3.74370000
2003-06-09,3.74400000
2003-06-10,3.78820000
2003-06-11,3.78670000
2003-06-12,3.78130000
2003-06-13,3.77010000
2003-06-16,3.72130000
2003-06-17,3.72450000
2003-06-18,3.72570000
2003-06-20,3.79160000
2003-06-23,3.82650000
2003-06-24,3.87200000
2003-06-25,3.87880000
2003-06-26,3.88840000
2003-06-27,3.93360000
2003-06-30,3.89660000
2003-07-01,3.85250000
2003-07-02,3.83650000
2003-07-03,3.87290000
2003-07-04,3.89050000
2003-07-07,3.89070000
2003-07-08,3.92990000
2003-07-09,3.93050000
2003-07-10,3.93110000
2003-07-11,3.92740000
2003-07-14,3.94370000
2003-07-15,3.93930000
2003-07-16,3.98060000
2003-07-17,3.99880000
2003-07-18,3.99300000
2003-07-21,3.96300000
2003-07-22,3.91610000
2003-07-23,3.91900000
2003-07-24,3.84740000
2003-07-25,3.84750000
2003-07-28,3.84410000
2003-07-29,3.83110000
2003-07-30,3.82480000
2003-07-31,3.87210000
2003-08-01,3.90230000
2003-08-04,3.87350000
2003-08-05,3.84180000
2003-08-06,3.84140000
2003-08-07,3.85330000
2003-08-08,3.84870000
2003-08-11,3.86980000
2003-08-12,3.84800000
2003-08-13,3.88700000
2003-08-14,3.87100000
2003-08-18,3.89280000
2003-08-19,3.93410000
2003-08-20,3.93280000
2003-08-21,3.95510000
2003-08-22,3.99760000
2003-08-25,4.00060000
2003-08-26,4.01980000
2003-08-27,4.00720000
2003-08-28,4.00100000
2003-08-29,3.99440000
2003-09-01,3.96980000
2003-09-02,4.00540000
2003-09-03,4.03980000
2003-09-04,4.02600000
2003-09-05,4.02800000
2003-09-08,4.00450000
2003-09-09,3.98670000
2003-09-10,3.96800000
2003-09-11,3.94750000
2003-09-12,3.96970000
2003-09-15,3.94000000
2003-09-16,3.97890000
2003-09-17,4.04310000
2003-09-18,4.01970000
2003-09-19,3.99310000
2003-09-22,3.93530000
2003-09-23,3.91350000
2003-09-24,3.91460000
2003-09-25,3.92590000
2003-09-26,3.96130000
